rank,channel_title,genre,saw_score,avg_view_count,avg_like_count,avg_comment_count,avg_watch_time,avg_engagement_rate,subscriber_count,top_video_titles,top_video_views,top_video_links
1,Fadil Jaidi,Entertainment,0.5649,3936615,203818,7208,1224742.68,0.0541,6500000,"['SAHUR PERTAMA WITH NEW MEMBER', 'MISKAH LAHIRAN']","[7491508, 5793764]","['https://www.youtube.com/watch?v=1OZTUriuTRo', 'https://www.youtube.com/watch?v=FqEWzXYu3ss']"
2,Willie Salim,Entertainment,0.5283,356513,8851,343,9828.15,0.1027,37700000,"['MAU NIKAH TAPI BEDA AGAMA…', 'ada yang tau kuat berapa sate']","[1437347, 733193]","['https://www.youtube.com/watch?v=gUYOIsExy08', 'https://www.youtube.com/watch?v=efPPwyBXxMg']"
3,Deddy Corbuzier,Podcast,0.517,2467700,51035,4771,2617151.98,0.0233,24800000,"['KING ALOY: IYEE OPA GUE MUCIKARI OM‼️INI GUE DI  HIPNOTIS YA!?? KAKI SAMPE DIKEPALA🤪', 'DILAN JANIYAR: MANTANKU MOKONDO OM‼️VIDI: APA ITU MOKONDO?? 😂😂 - ARIF BRATA']","[5329001, 4520310]","['https://www.youtube.com/watch?v=2yz0llmrUvQ', 'https://www.youtube.com/watch?v=xnZfToTotOE']"
4,Nadia Omara,Entertainment,0.3639,1831310,70207,2387,866016.93,0.0394,12800000,"['SONGKO - KHW PART 312', 'SAYEM - KHW PART 313']","[3724863, 3612662]","['https://www.youtube.com/watch?v=KOuVyZfIIy0', 'https://www.youtube.com/watch?v=piZSHyLuEY8']"
5,Agung Hapsah,Entertainment,0.3434,1206526,67352,2842,479447.36,0.0561,2260000,"['video ini ditonton 2.276.012 kali', 'aku ditabrak terus']","[2430201, 1767240]","['https://www.youtube.com/watch?v=E-_W9AxV6kA', 'https://www.youtube.com/watch?v=ryzOA9ODGes']"
6,CURHAT BANG Denny Sumargo,Podcast,0.3385,1771881,35132,12144,1378619.36,0.0218,8280000,"['ISI REKAMAN NIKMIR MENUMBANGKAN BANYAK PIHAK, REZA GLADYS\xa0KETAR\xa0KETIR⁉️', 'AKU GA ADA SUAP HAKIM, DIA HANC*RIN M3NTAL & KREDIBILITASKU SEBAGAI DOKTER‼️\xa0(REZA\xa0GLADYS)']","[4836855, 4031705]","['https://www.youtube.com/watch?v=ueazjC4X7wg', 'https://www.youtube.com/watch?v=_Ui4thbpID4']"
7,Hirotada Radifan,Entertainment,0.3383,1023895,53578,2964,507960.17,0.0556,3910000,"['PAMALI UANG NGANGGUR BISA JADI TUMBAL -TC', 'BANGKIT DARI KUBUR MENUNTUT GINJ4L - TC']","[1409623, 1369862]","['https://www.youtube.com/watch?v=jYz1Sz6Zbmo', 'https://www.youtube.com/watch?v=qnwnhCcRnw4']"
8,omped_visual,Entertainment,0.325,4404128,78867,1126,306961.83,0.0194,12800000,"['Siapa disini yg takut juga pulang main lewat kuburan ? #short #lucu #komedi', 'Kalian ikut lomba nangkap belut juga ga ? #short #lucu #komedi #hutri80']","[9246227, 5969595]","['https://www.youtube.com/watch?v=DLYKu-H_G9g', 'https://www.youtube.com/watch?v=jf79Y7os-e0']"
9,Pertajam Pola Pikir,Edukasi,0.3115,59462,3812,325,10208.24,0.0769,256000,"['TOP 5 KEBIASAAN YG MERUSAK OTAK DAN SELALU ADA PADA REMAJA.', 'Kenapa Orang Rela Terlihat T0l*l Demi Ikut Trend?']","[156091, 105076]","['https://www.youtube.com/watch?v=WB8UaJ2LZ2M', 'https://www.youtube.com/watch?v=QOa-3vQN-Ko']"
10,Yudha Pangestu,Kuliner,0.2906,58117,3731,23,2020.22,0.0709,1970000,"['CUNGKRING YANG UDAH ADA SEJAK TAHUN 1975', 'BURGER VIRAL BUKAN DI SERPONGG🤤']","[220249, 60914]","['https://www.youtube.com/watch?v=Ou-tgJIz9mo', 'https://www.youtube.com/watch?v=e09Wl6iiCZs']"
11,Kok Bisa?,Edukasi,0.2889,174419,9350,357,9369.6,0.0659,5920000,"['‘Senjata’ Perang Terkejam: Kelaparan Massal?', 'Gimana Jika Kita Napas dengan 100% Oksigen Murni?']","[623536, 371206]","['https://www.youtube.com/watch?v=k7pOxiTGPNU', 'https://www.youtube.com/watch?v=Kw_UNZXNffQ']"
12,Raymond Chin,Edukasi,0.288,173144,10078,409,3986.14,0.0677,3070000,"['Bedah Bisnis Silverqueen', 'Starlink Keluar Dari Indonesia?']","[838798, 171759]","['https://www.youtube.com/watch?v=2vaXY6618ig', 'https://www.youtube.com/watch?v=D0ccI6moE90']"
13,Layar Kertas,Edukasi,0.2785,94070,4125,149,25736.64,0.0682,29400,"['Cara Gampang Tahu Orang Bohong (Teknik Rahasia CIA) | Spy The Lie', 'Profesor Ini Bongkar Cara Dunia Manipulasi Kamu Tiap Hari (& Cara Melawan) | Influence']","[315452, 264428]","['https://www.youtube.com/watch?v=IdF8t-8tauE', 'https://www.youtube.com/watch?v=8EBqN29qOjI']"
14,Akbar Abi,Edukasi,0.2735,85220,5632,167,30097.77,0.0667,106000,"['Cara Memulihkan Fungsi Otak - brainrot, kekuatan neuroplasticity', 'Perbaiki 5 Sistem Ini Untuk Menang di 2025 - ambisius tapi males, work life balance omong kosong']","[375740, 199242]","['https://www.youtube.com/watch?v=2S1Xts88D4o', 'https://www.youtube.com/watch?v=H1HTr45MR14']"
15,Juan Owen,Kuliner,0.269,62860,3916,30,1048.86,0.0666,221000,"['Nasi Kapau Kampuang #kuliner #nasikapau', 'Mul Bakso Malang #kuliner #baksomalang']","[130617, 104440]","['https://www.youtube.com/watch?v=VNfph-V5Bpg', 'https://www.youtube.com/watch?v=TxvoF1c6rg4']"
16,Timothy Ronald,Edukasi,0.2511,306070,12516,1842,208010.36,0.0516,2900000,"['Misi Membangun 1000 Sekolah Ft. Agatha Chelsea', 'Cara Orang Kaya Mengelola Uang vs Orang Miskin']","[808302, 458602]","['https://www.youtube.com/watch?v=gtLyIdr8ZCc', 'https://www.youtube.com/watch?v=of-aGwSrsj0']"
17,MALAKA,Podcast,0.2504,65162,2497,191,14555.44,0.0611,908000,"['Revolusi Dimulai dari Pati!', 'Penjelasan Ade Rai Tentang Pemahaman Keliru soal Obesitas dan Latihan Beban']","[413877, 172121]","['https://www.youtube.com/watch?v=P4hbu1Y4BZU', 'https://www.youtube.com/watch?v=uONMGj71Cps']"
